Dataset,Size,Time type,Time Cost
CW-AIOps,30000,Data Feature Collection Time,1.5344185829162598
CW-AIOps,30000,Insert Time,0.1891522407531738
CW-AIOps,40000,Data Feature Collection Time,2.024152914683024
CW-AIOps,40000,Insert Time,0.2051022052764892
CW-AIOps,50000,Data Feature Collection Time,2.520843187967936
CW-AIOps,50000,Insert Time,0.260833740234375
CW-AIOps,60000,Data Feature Collection Time,2.9985400835673013
CW-AIOps,60000,Insert Time,0.2501347064971924
CW-AIOps,70000,Data Feature Collection Time,3.505887428919474
CW-AIOps,70000,Insert Time,0.2887628078460693
CW-AIOps,80000,Data Feature Collection Time,4.021862268447876
CW-AIOps,80000,Insert Time,0.3036165237426758
CW-AIOps,90000,Data Feature Collection Time,4.569810310999553
CW-AIOps,90000,Insert Time,0.3489563465118408
CW-AIOps,100000,Data Feature Collection Time,5.086457014083862
CW-AIOps,100000,Insert Time,0.4494924545288086
CW-AIOps,10000,Data Feature Collection Time,0.4990806579589844
CW-AIOps,10000,Insert Time,0.1394827365875244
CW-AIOps,20000,Data Feature Collection Time,1.0000903606414795
CW-AIOps,20000,Insert Time,0.1691522598266601
CW-AIOps,30000,Data Feature Collection Time,1.4648240407307942
CW-AIOps,30000,Insert Time,0.2027194499969482
CW-AIOps,40000,Data Feature Collection Time,1.937150796254476
CW-AIOps,40000,Insert Time,0.232168436050415
CW-AIOps,50000,Data Feature Collection Time,2.4304213523864746
CW-AIOps,50000,Insert Time,0.2320165634155273
CW-AIOps,60000,Data Feature Collection Time,2.909432808558146
CW-AIOps,60000,Insert Time,0.2650434970855713
CW-AIOps,70000,Data Feature Collection Time,3.406572103500366
CW-AIOps,70000,Insert Time,0.2844552993774414
CW-AIOps,80000,Data Feature Collection Time,3.8578639030456543
CW-AIOps,80000,Insert Time,0.3024303913116455
CW-AIOps,90000,Data Feature Collection Time,4.304465532302856
CW-AIOps,90000,Insert Time,0.3437032699584961
CW-AIOps,100000,Data Feature Collection Time,4.8065775235493975
CW-AIOps,100000,Insert Time,0.4282383918762207
CW-AIOps,10000,Data Feature Collection Time,0.4662994543711344
CW-AIOps,10000,Insert Time,0.1380054950714111
CW-AIOps,20000,Data Feature Collection Time,0.9764183362325032
CW-AIOps,20000,Insert Time,0.1672255992889404
CW-AIOps,30000,Data Feature Collection Time,1.4600834051767986
CW-AIOps,30000,Insert Time,0.1819243431091308
CW-AIOps,40000,Data Feature Collection Time,1.9403070608774824
CW-AIOps,40000,Insert Time,0.2149007320404052
CW-AIOps,50000,Data Feature Collection Time,2.4806969165802
CW-AIOps,50000,Insert Time,0.23321533203125
CW-AIOps,60000,Data Feature Collection Time,2.950202147165934
CW-AIOps,60000,Insert Time,0.2556941509246826
CW-AIOps,70000,Data Feature Collection Time,3.420534292856852
CW-AIOps,70000,Insert Time,0.3272676467895508
CW-AIOps,80000,Data Feature Collection Time,3.901033798853556
CW-AIOps,80000,Insert Time,0.3503034114837646
CW-AIOps,90000,Data Feature Collection Time,4.385226329167684
CW-AIOps,90000,Insert Time,0.349039077758789
CW-AIOps,100000,Data Feature Collection Time,4.837240060170491
CW-AIOps,100000,Insert Time,0.3747086524963379
CW-AIOps,10000,Data Feature Collection Time,0.4511907895406087
CW-AIOps,10000,Insert Time,0.132103681564331
CW-AIOps,20000,Data Feature Collection Time,0.9235904216766356
CW-AIOps,20000,Insert Time,0.1540679931640625
CW-AIOps,30000,Data Feature Collection Time,1.353143612543742
CW-AIOps,30000,Insert Time,0.1777584552764892
CW-AIOps,40000,Data Feature Collection Time,1.8063091437021888
CW-AIOps,40000,Insert Time,0.1988883018493652
CW-AIOps,50000,Data Feature Collection Time,2.261056502660116
CW-AIOps,50000,Insert Time,0.2235772609710693
CW-AIOps,60000,Data Feature Collection Time,2.7217864195505777
CW-AIOps,60000,Insert Time,0.2434465885162353
CW-AIOps,70000,Data Feature Collection Time,3.1889243125915527
CW-AIOps,70000,Insert Time,0.285137414932251
CW-AIOps,80000,Data Feature Collection Time,3.688129107157389
CW-AIOps,80000,Insert Time,0.3616962432861328
CW-AIOps,90000,Data Feature Collection Time,4.128964980443318
CW-AIOps,90000,Insert Time,0.3648247718811035
CW-AIOps,100000,Data Feature Collection Time,4.585467338562012
CW-AIOps,100000,Insert Time,0.3881087303161621
CW-AIOps,10000,Data Feature Collection Time,0.4687065283457438
CW-AIOps,10000,Insert Time,0.1457867622375488
CW-AIOps,20000,Data Feature Collection Time,0.9909514586130778
CW-AIOps,20000,Insert Time,0.1641514301300048
CW-AIOps,30000,Data Feature Collection Time,1.4723763465881348
CW-AIOps,30000,Insert Time,0.1847140789031982
CW-AIOps,40000,Data Feature Collection Time,1.9481284618377688
CW-AIOps,40000,Insert Time,0.2029623985290527
CW-AIOps,50000,Data Feature Collection Time,2.4292495250701904
CW-AIOps,50000,Insert Time,0.2329921722412109
CW-AIOps,60000,Data Feature Collection Time,2.9152002334594727
CW-AIOps,60000,Insert Time,0.2527775764465332
CW-AIOps,70000,Data Feature Collection Time,3.421361923217773
CW-AIOps,70000,Insert Time,0.3142809867858886
CW-AIOps,80000,Data Feature Collection Time,3.9159766832987466
CW-AIOps,80000,Insert Time,0.3402879238128662
CW-AIOps,90000,Data Feature Collection Time,4.396144946416219
CW-AIOps,90000,Insert Time,0.3295741081237793
CW-AIOps,100000,Data Feature Collection Time,4.90132196744283
CW-AIOps,100000,Insert Time,0.4037559032440185
Incident Event Log,10000,Data Feature Collection Time,0.0251894791920979
Incident Event Log,10000,Insert Time,0.1276261806488037
Incident Event Log,20000,Data Feature Collection Time,0.0736509958902994
Incident Event Log,20000,Insert Time,0.1469171047210693
Incident Event Log,30000,Data Feature Collection Time,0.0924649238586425
Incident Event Log,30000,Insert Time,0.1507549285888672
Incident Event Log,40000,Data Feature Collection Time,0.1274202664693196
Incident Event Log,40000,Insert Time,0.1617231369018554
Incident Event Log,50000,Data Feature Collection Time,0.1277023951212565
Incident Event Log,50000,Insert Time,0.1752619743347168
Incident Event Log,60000,Data Feature Collection Time,0.1533899307250976
Incident Event Log,60000,Insert Time,0.1857268810272216
Incident Event Log,70000,Data Feature Collection Time,0.178088903427124
Incident Event Log,70000,Insert Time,0.1960618495941162
Incident Event Log,80000,Data Feature Collection Time,0.2035590807596842
Incident Event Log,80000,Insert Time,0.2097768783569336
Incident Event Log,90000,Data Feature Collection Time,0.228040854136149
Incident Event Log,90000,Insert Time,0.2212855815887451
Incident Event Log,100000,Data Feature Collection Time,0.2534759839375813
Incident Event Log,100000,Insert Time,0.2774713039398193
CW-AIOps,10000,Data Feature Collection Time,0.4643411636352539
CW-AIOps,10000,Insert Time,0.1376092433929443
CW-AIOps,20000,Data Feature Collection Time,0.9445021152496338
CW-AIOps,20000,Insert Time,0.1585485935211181
CW-AIOps,30000,Data Feature Collection Time,1.4139610926310222
CW-AIOps,30000,Insert Time,0.1800801753997802
CW-AIOps,40000,Data Feature Collection Time,1.838699579238892
CW-AIOps,40000,Insert Time,0.2048523426055908
CW-AIOps,50000,Data Feature Collection Time,2.3055837949117026
CW-AIOps,50000,Insert Time,0.22701096534729
CW-AIOps,60000,Data Feature Collection Time,2.80586846669515
CW-AIOps,60000,Insert Time,0.2718636989593506
CW-AIOps,70000,Data Feature Collection Time,3.2466939290364585
CW-AIOps,70000,Insert Time,0.2989237308502197
CW-AIOps,80000,Data Feature Collection Time,3.720759471257528
CW-AIOps,80000,Insert Time,0.297529935836792
CW-AIOps,90000,Data Feature Collection Time,4.208745002746582
CW-AIOps,90000,Insert Time,0.3180532455444336
CW-AIOps,100000,Data Feature Collection Time,4.689164400100708
CW-AIOps,100000,Insert Time,0.3399088382720947
CW-AIOps,10000,Data Feature Collection Time,0.4624372323354085
CW-AIOps,10000,Insert Time,0.1400289535522461
CW-AIOps,20000,Data Feature Collection Time,0.967564900716146
CW-AIOps,20000,Insert Time,0.1575276851654052
CW-AIOps,30000,Data Feature Collection Time,1.4512747128804524
CW-AIOps,30000,Insert Time,0.1780927181243896
