DataSet,DataType,Mean,Standard_variance,MAD,Delta mean,Delta_variance,Delta_spread,Entropy,Repeat,Increase,Encoding,Compression Ratio
diffmean_5.csv,INT32,0.1578,51105.56949133137,22498.5,16.116611661166118,992.2913595397786,7989,9.150828943663425,0.0,0.5050505050505051,RAKE,0.6422166666666667
diffmean_5.csv,INT32,0.1578,51105.56949133137,22498.5,16.116611661166118,992.2913595397786,7989,9.150828943663425,0.0,0.5050505050505051,RLE,0.35160833333333336
diffmean_5.csv,INT32,0.1578,51105.56949133137,22498.5,16.116611661166118,992.2913595397786,7989,9.150828943663425,0.0,0.5050505050505051,TS_2DIFF,0.162275
diffmean_5.csv,INT32,0.1578,51105.56949133137,22498.5,16.116611661166118,992.2913595397786,7989,9.150828943663425,0.0,0.5050505050505051,GORILLA,0.35786666666666667
diffmean_5.csv,INT32,0.1578,51105.56949133137,22498.5,16.116611661166118,992.2913595397786,7989,9.150828943663425,0.0,0.5050505050505051,PLAIN,0.25465
diffmean_5.csv,INT32,0.1578,51105.56949133137,22498.5,16.116611661166118,992.2913595397786,7989,9.150828943663425,0.0,0.5050505050505051,SPRINTZ,0.17923333333333333
diffmean_5.csv,INT32,0.1578,51105.56949133137,22498.5,16.116611661166118,992.2913595397786,7989,9.150828943663425,0.0,0.5050505050505051,RLBE,0.29730833333333334
diffmean_3.csv,INT32,0.01,822606.2321057959,694189.0,-284.26242624262426,1068.160808441605,7557,9.206042859456709,0.0,0.5041504150415042,RAKE,0.5631333333333334
diffmean_3.csv,INT32,0.01,822606.2321057959,694189.0,-284.26242624262426,1068.160808441605,7557,9.206042859456709,0.0,0.5041504150415042,RLE,0.35160833333333336
diffmean_3.csv,INT32,0.01,822606.2321057959,694189.0,-284.26242624262426,1068.160808441605,7557,9.206042859456709,0.0,0.5041504150415042,TS_2DIFF,0.16254166666666667
diffmean_3.csv,INT32,0.01,822606.2321057959,694189.0,-284.26242624262426,1068.160808441605,7557,9.206042859456709,0.0,0.5041504150415042,GORILLA,0.22875833333333334
diffmean_3.csv,INT32,0.01,822606.2321057959,694189.0,-284.26242624262426,1068.160808441605,7557,9.206042859456709,0.0,0.5041504150415042,PLAIN,0.29034166666666666
diffmean_3.csv,INT32,0.01,822606.2321057959,694189.0,-284.26242624262426,1068.160808441605,7557,9.206042859456709,0.0,0.5041504150415042,SPRINTZ,0.179325
diffmean_3.csv,INT32,0.01,822606.2321057959,694189.0,-284.26242624262426,1068.160808441605,7557,9.206042859456709,0.0,0.5041504150415042,RLBE,0.29523333333333335
